n_batteries,rho_agents,run,feeder_limit_kw,sync_metric,violation_fraction,peak_charge_kw,peak_charge_ratio,peak_discharge_kw,peak_discharge_ratio,mean_abs_aggregate_power_kw,mean_abs_aggregate_power_ratio,fraction_charging_mean,fraction_charging_peak,fraction_discharging_mean,fraction_discharging_peak,max_feeder_loading_ratio,mean_feeder_loading_ratio,mean_headroom_before_battery_kw,min_headroom_before_battery_kw,mean_headroom_after_battery_kw,min_headroom_after_battery_kw,mean_initial_soc,low_soc_fraction,high_soc_fraction
10,0.0,0,60.0,1.4602868490287664,0.0,23.10893907474365,0.3851489845790608,42.711740157794665,0.7118623359632444,10.101086437147977,0.16835144061913296,0.16666666666666666,0.7,0.1708333333333333,1.0,0.9188825969706635,0.47575434434269553,29.928890597959228,22.53097550672343,31.454739339438266,4.8670441817601855,0.5633685840739427,0.1,0.3
10,0.0,1,60.0,1.6276342148094587,0.0,29.670135224101667,0.49450225373502776,35.53027622938905,0.5921712704898175,14.778919960321657,0.24631533267202763,0.22916666666666666,0.9,0.20833333333333334,0.9,0.9369844134262446,0.4949925615442951,30.225176920449627,23.246298687013955,30.3004463073423,3.780935194425325,0.5449124400753547,0.1,0.4
10,0.0,2,60.0,1.5910532334019507,0.08333333333333333,33.732086457084534,0.5622014409514089,23.380650411475138,0.38967750685791896,13.398724734577884,0.2233120789096314,0.2166666666666667,0.9,0.2041666666666667,0.6,1.1087583918519566,0.49901740558813823,30.05130711697244,21.238280078878596,30.058955664711704,-6.5255035111173925,0.5317289447199416,0.2,0.3
10,0.0,3,60.0,1.2855136950012291,0.041666666666666664,26.55120843376854,0.44252014056280903,32.62109687069357,0.5436849478448929,9.32634330079379,0.15543905501322983,0.14166666666666666,0.8,0.14583333333333334,0.8,1.0769778086168964,0.5130731982530697,28.89962769708582,21.739661848464202,29.215608104815814,-4.618668517013788,0.5002073451141853,0.2,0.2
10,0.0,4,60.0,1.6434930243677577,0.041666666666666664,34.16161329676124,0.5693602216126873,45.32033217866436,0.755338869644406,17.839063939458036,0.2973177323243006,0.35833333333333334,0.9,0.19583333333333333,1.0,1.0510662973121878,0.5367640198854345,30.147909703980787,22.94914281062851,27.794158806873924,-3.063977838731269,0.5363370685404338,0.1,0.3
10,0.0,5,60.0,1.700134349104804,0.041666666666666664,26.251263361729652,0.4375210560288275,30.279195126705446,0.5046532521117574,12.761018224290533,0.2126836370715089,0.23749999999999996,0.8,0.16666666666666666,0.8,1.072892485848222,0.5269888761628314,29.082662569636852,21.877714210836324,28.38066743023011,-4.373549150893325,0.5732504572595204,0.0,0.3
10,0.0,6,60.0,1.3798098943786128,0.041666666666666664,33.22421762847461,0.5537369604745769,28.4336589635528,0.47389431605921334,13.9486537646496,0.23247756274416,0.19583333333333333,0.9,0.20416666666666664,0.7,1.077105065875705,0.49243805143263386,30.18279213540134,21.725849963834456,30.453716914041962,-4.626303952542301,0.4331043030175172,0.4,0.2
10,0.0,7,60.0,1.5383018140548346,0.041666666666666664,29.016629595529757,0.48361049325882927,41.699688917967464,0.6949948152994577,14.76603975788008,0.24610066263133465,0.26666666666666666,0.8,0.2041666666666667,1.0,1.0327790134823416,0.5137785108950608,28.78982285264861,23.526528640915984,29.173289346296354,-1.9667408089405,0.4332302365884845,0.5,0.2
10,0.0,8,60.0,1.7354699682685537,0.041666666666666664,31.415849518363164,0.5235974919727194,35.008704609646315,0.583478410160772,15.00512827232484,0.25008547120541397,0.2625,0.8,0.24583333333333335,0.8,1.0562225740659714,0.4934493786477622,29.618032069039895,22.781729044229273,30.39303728113427,-3.3733544439582914,0.5277668125930514,0.1,0.1
10,0.0,9,60.0,1.538861155384436,0.0,31.55117071547988,0.525852845257998,33.31623578035742,0.5552705963392903,14.121106908030265,0.23535178180050442,0.2416666666666667,0.9,0.2125,0.8,0.9684665917778214,0.5215393841443645,29.25481372983729,22.048205998648825,28.70763695133813,1.8920044933307167,0.46930409622201863,0.1,0.0
