n_batteries,rho_agents,sync_mean,violation_mean,peak_charge_ratio_mean,peak_charge_ratio_std,fraction_charging_mean,fraction_charging_peak_mean,max_feeder_loading_ratio_mean,mean_feeder_loading_ratio_mean,mean_headroom_before_battery_kw,min_headroom_before_battery_kw,mean_initial_soc,low_soc_fraction,high_soc_fraction
10,0.0,1.492203513415285,0.03125,0.49859520175217015,0.07790282471392443,0.22166666666666668,0.835,1.023545540449859,0.5078188957862076,29.702142855251147,22.301913106592394,0.5052977574689559,0.195,0.205
10,0.05263157894736842,1.5454459018659894,0.025,0.4820042768060885,0.09462926716883568,0.21208333333333332,0.8099999999999999,0.9987604686712661,0.49608330386590616,29.923690774170165,23.147896917377135,0.49222916040018677,0.29,0.27
10,0.10526315789473684,1.4952373981363025,0.03333333333333333,0.5178169241202134,0.08568284524390517,0.22333333333333333,0.8699999999999999,1.0247791386762075,0.499915868334575,29.802861737526058,23.436245908820084,0.5277830976190503,0.19,0.27
10,0.15789473684210525,1.3743691086627035,0.03333333333333333,0.5028618840855927,0.07724726625409861,0.21104166666666666,0.8699999999999999,1.0233710928706556,0.4884406777417312,30.33807558854748,23.279793987599028,0.49276056404460566,0.255,0.24
10,0.21052631578947367,1.3819489090600627,0.05208333333333333,0.5410883984702253,0.07723287189860298,0.213125,0.9,1.0342762600599997,0.49498981066654124,29.961853329990294,22.812017277822672,0.5041132512599155,0.255,0.265
10,0.2631578947368421,1.4535415692241074,0.04791666666666666,0.5345712230242429,0.06942475352358023,0.2270833333333333,0.9099999999999999,1.056490207301165,0.4959060221774398,29.882293555940343,23.307274969107414,0.5220248596808389,0.225,0.305
10,0.3157894736842105,1.369598154328275,0.05208333333333333,0.5383048314670792,0.06792754298817151,0.22270833333333334,0.925,1.057068125790967,0.49686748172562056,29.753768957537382,23.029706950654685,0.505877673959317,0.25,0.29
10,0.3684210526315789,1.3734133584527495,0.06875,0.5563149509581363,0.07502659741697837,0.2345833333333333,0.9550000000000001,1.0751633581098554,0.4900750833163242,30.033082639041396,22.77397187894412,0.5134305444056292,0.22000000000000003,0.275
10,0.42105263157894735,1.3167237593631722,0.06666666666666667,0.562348732636567,0.07196401555831711,0.22479166666666667,0.95,1.0653235036874382,0.4925693604270297,29.84681293497268,22.894723540618912,0.4953631375990688,0.29,0.23500000000000001
10,0.47368421052631576,1.1990891928042877,0.09166666666666666,0.6064450919561494,0.04331085839731537,0.256875,0.985,1.101772090557875,0.5111604387659645,29.761916127082863,22.740000130409143,0.48034863724488536,0.30500000000000005,0.23000000000000004
10,0.5263157894736842,1.2387881236027867,0.06875,0.5625622335770626,0.09815112086497997,0.21875,0.9400000000000001,1.0770444476273453,0.4975088368916859,29.957310719726415,22.515072533075976,0.4865741547265534,0.27,0.22999999999999998
10,0.5789473684210527,1.1677735241204026,0.07083333333333333,0.5827845634435961,0.06749334745751284,0.23395833333333335,0.97,1.1000063190045564,0.4935913849647311,30.104935126824806,23.054768817987817,0.49443258750904234,0.225,0.205
10,0.631578947368421,1.0894635217153539,0.09791666666666667,0.5869052175673811,0.059853663011876515,0.20625,0.985,1.0913234829991283,0.49091264741105967,30.180467857558778,23.057452789144733,0.5124590229269528,0.22999999999999998,0.3
10,0.6842105263157894,1.1078806480839287,0.09791666666666667,0.6098407282168685,0.05531421958745788,0.22749999999999998,0.9800000000000001,1.1190986903958575,0.491224329774118,30.16489963562742,22.875161706312745,0.48196321785757573,0.265,0.205
10,0.7368421052631579,0.9274441166803442,0.11666666666666667,0.6147950190217532,0.052367670730648394,0.226875,0.985,1.1118048802710352,0.49065387280744294,30.26587614880382,23.309842031931016,0.49377939537793114,0.265,0.24500000000000002
10,0.7894736842105263,0.9248341013594306,0.10208333333333333,0.6115662455837269,0.05686676723360558,0.23208333333333334,1.0,1.099297959937745,0.4961851871417767,29.852989595905097,23.33327409386397,0.505000321293371,0.26,0.28500000000000003
10,0.8421052631578947,0.7669944117879595,0.12708333333333333,0.6237616032204931,0.0390696340202742,0.25083333333333335,0.99,1.1388793005765732,0.5052818335190639,29.6179263108437,23.21995816660188,0.5069564403477032,0.215,0.25
10,0.894736842105263,0.6435405116276322,0.14791666666666667,0.6333736053271106,0.019734808962492384,0.25145833333333334,1.0,1.1515001424545634,0.5059102782730047,30.00711628596482,23.656915475401192,0.4841299011301398,0.265,0.24500000000000002
10,0.9473684210526315,0.5361840406268051,0.10833333333333332,0.6273584171302795,0.03998952771238663,0.18083333333333335,0.9949999999999999,1.1259755955756818,0.4949492365714659,29.82884230614899,22.799829898177393,0.5026818891533354,0.26,0.27
10,1.0,0.07037273598959265,0.16666666666666669,0.6469851820532273,0.018855552411805,0.22000000000000003,1.0,1.1633532956170014,0.49095168725890453,29.872054254853516,22.53274713510521,0.49130845883871527,0.255,0.21000000000000002
30,0.0,1.6903928927724006,0.01875,0.47371907272502967,0.05083086903507249,0.22631944444444443,0.825,0.9813218666964276,0.4971182013599812,90.22811032066764,78.48348959964287,0.5063586196987335,0.23333333333333334,0.26
30,0.05263157894736842,1.5690433282900753,0.02708333333333333,0.49438226114578915,0.07251687990364553,0.20222222222222222,0.8283333333333334,0.9956279537273776,0.4901151911830599,90.25709403638349,78.62921617656512,0.5200035833302078,0.21833333333333332,0.27666666666666667
30,0.10526315789473684,1.5856225605116676,0.041666666666666664,0.5029170004834999,0.08003782247380946,0.2361111111111111,0.8516666666666668,0.9957568876670541,0.49903184890060776,89.69805209684222,77.27046163791734,0.5135159226891558,0.22000000000000003,0.265
30,0.15789473684210525,1.6048250607857064,0.029166666666666667,0.48851593788334496,0.07590171675532287,0.2325,0.8266666666666668,0.9933492089280547,0.49724825107819726,89.61569868340928,76.59864051001793,0.5051927984924496,0.225,0.2533333333333333
30,0.21052631578947367,1.5096556271458756,0.03125,0.5177791145662677,0.07668459327898058,0.2146527777777778,0.8733333333333334,1.0193828862048337,0.4985428260253536,90.02184843647414,76.99593091934578,0.48950093273958756,0.2733333333333333,0.24499999999999997
30,0.2631578947368421,1.498924279663251,0.03958333333333333,0.5224507122855238,0.06270907776127195,0.21638888888888888,0.885,1.033989218151688,0.49952925304454715,89.84247172187415,76.84359038008296,0.4950215136063575,0.26166666666666666,0.24
30,0.3157894736842105,1.544621163177268,0.0625,0.5552686462785678,0.046255007330515734,0.23465277777777777,0.9216666666666666,1.0463120160992723,0.49752039103364565,90.13381371788935,78.29703159847367,0.49455432917135855,0.2683333333333333,0.22666666666666666
30,0.3684210526315789,1.4827863029584372,0.05208333333333333,0.5289514719395358,0.07533578549915919,0.20659722222222224,0.885,1.0221022966705042,0.48658600276401537,89.77744121297499,77.23551297112162,0.5130662241440533,0.24500000000000002,0.2833333333333333
30,0.42105263157894735,1.4114531566490398,0.06041666666666666,0.5488536739635855,0.08314956323092886,0.21222222222222223,0.925,1.0390581598089281,0.49537308045507034,89.55647885707452,77.18960971879812,0.4985125618617364,0.24666666666666667,0.23666666666666666
30,0.47368421052631576,1.3716637639637854,0.05833333333333333,0.5693536513119482,0.04819395407292208,0.2411111111111111,0.9633333333333333,1.0726652410637392,0.49813907460767437,89.83694700676914,77.26910739179056,0.49835301488971584,0.25666666666666665,0.24666666666666667
30,0.5263157894736842,1.2846344143282973,0.06666666666666667,0.5547864431228982,0.07178780279452492,0.20847222222222223,0.915,1.0550351370130318,0.5009738582933577,89.91623246159139,78.25015839841288,0.5032299126936884,0.23500000000000001,0.25666666666666665
30,0.5789473684210527,1.3471264932042764,0.08125,0.5836538098624869,0.06581744903547088,0.22645833333333334,0.9583333333333334,1.085737291965857,0.496922436297878,89.76217975648932,77.05511621047073,0.5097155961171793,0.22833333333333333,0.27999999999999997
30,0.631578947368421,1.212273760918781,0.075,0.57690120474877,0.03834027913783059,0.20395833333333332,0.9333333333333333,1.0759194430549612,0.48883481559921665,90.25571290361725,77.95925534551208,0.512376188449391,0.22333333333333333,0.26
30,0.6842105263157894,1.1445180116555456,0.075,0.589327299124314,0.03769410908941878,0.2151388888888889,0.9800000000000001,1.095496021779827,0.49747920291158054,89.92227187713459,77.19113706120052,0.4946701682455913,0.275,0.24666666666666667
30,0.7368421052631579,1.1066067564347157,0.09166666666666666,0.6032001427759904,0.05403116563047884,0.2348611111111111,0.9683333333333334,1.1042511731972982,0.5010352120404603,90.28991422792409,78.4609808963519,0.49228844744068584,0.25,0.23166666666666663
