n_batteries,predictor,corr_with_violation_fraction,abs_corr
10,max_feeder_loading_ratio,0.7301704689015435,0.7301704689015435
10,peak_charge_ratio,0.7170421908695592,0.7170421908695592
10,rho_agents,0.6249918650477041,0.6249918650477041
10,sync_metric,-0.6064505650703624,0.6064505650703624
10,fraction_charging_peak,0.5984378487742713,0.5984378487742713
10,mean_abs_aggregate_power_ratio,0.5031517361563916,0.5031517361563916
10,fraction_charging_mean,0.3709051534090431,0.3709051534090431
10,mean_feeder_loading_ratio,0.1585677885391567,0.1585677885391567
10,mean_initial_soc,-0.1132110037060596,0.1132110037060596
10,low_soc_fraction,0.1030170985026748,0.1030170985026748
10,high_soc_fraction,-0.08236133177910235,0.08236133177910235
10,mean_headroom_before_battery_kw,-0.04919942948059134,0.04919942948059134
10,min_headroom_before_battery_kw,-0.011969436000109555,0.011969436000109555
30,max_feeder_loading_ratio,0.7485211476276523,0.7485211476276523
30,peak_charge_ratio,0.7418807535131038,0.7418807535131038
30,fraction_charging_peak,0.6590003090295835,0.6590003090295835
30,rho_agents,0.6289012812985891,0.6289012812985891
30,sync_metric,-0.6039113399085299,0.6039113399085299
30,mean_abs_aggregate_power_ratio,0.47008377005865876,0.47008377005865876
30,fraction_charging_mean,0.3236365265227439,0.3236365265227439
30,mean_feeder_loading_ratio,0.2653892794534065,0.2653892794534065
30,mean_initial_soc,-0.10064394845640187,0.10064394845640187
30,mean_headroom_before_battery_kw,-0.07049253785859118,0.07049253785859118
30,high_soc_fraction,-0.06617219055202662,0.06617219055202662
30,low_soc_fraction,0.03548533132080464,0.03548533132080464
30,min_headroom_before_battery_kw,-0.028064922751858325,0.028064922751858325
50,peak_charge_ratio,0.757059302582472,0.757059302582472
50,max_feeder_loading_ratio,0.7431522567533755,0.7431522567533755
50,rho_agents,0.6932150285368315,0.6932150285368315
50,fraction_charging_peak,0.6587931519349257,0.6587931519349257
50,sync_metric,-0.6460168612745059,0.6460168612745059
50,mean_abs_aggregate_power_ratio,0.6176408429087145,0.6176408429087145
50,fraction_charging_mean,0.4429723461916909,0.4429723461916909
50,mean_feeder_loading_ratio,0.19903805912674905,0.19903805912674905
50,min_headroom_before_battery_kw,-0.05559951534390948,0.05559951534390948
50,high_soc_fraction,0.03856384868520814,0.03856384868520814
50,mean_headroom_before_battery_kw,-0.03334473931825146,0.03334473931825146
50,low_soc_fraction,0.013150997064868428,0.013150997064868428
50,mean_initial_soc,-0.011236969955144734,0.011236969955144734
