n_batteries,baseline_violation_mean,rho_near_0_90,violation_near_0_90,amplification_near_0_90,rho_near_1_00,violation_near_1_00,amplification_near_1_00
5,0.0520833333333333,0.894736842105263,0.11875,2.280000000000001,1.0,0.1604166666666666,3.0800000000000005
10,0.0249999999999999,0.894736842105263,0.13125,5.250000000000021,1.0,0.1770833333333333,7.08333333333336
20,0.0416666666666666,0.894736842105263,0.1333333333333333,3.200000000000004,1.0,0.1729166666666666,4.150000000000005
30,0.0249999999999999,0.894736842105263,0.1354166666666666,5.416666666666686,1.0,0.1583333333333333,6.333333333333357
50,0.01875,0.894736842105263,0.1479166666666666,7.888888888888887,1.0,0.1729166666666666,9.22222222222222
