n_batteries,rho_agents,sync_mean,sync_std,violation_mean,violation_std,mean_abs_aggregate_power_kw,peak_charge_kw,peak_discharge_kw
5,0.0,1.3266585289925632,0.23992835983247787,0.052083333333333336,0.04458015646985991,6.850196032611552,16.466825788760026,19.181388848950988
5,0.05263157894736842,1.2935685282697051,0.22743248297125046,0.06458333333333333,0.04579344356656541,6.871019812437673,16.722440148106983,18.432910048566164
5,0.10526315789473684,1.2315049954490833,0.24702157475828787,0.06458333333333333,0.03935471839118053,6.836359479894003,16.643420644243545,19.030101616932164
5,0.15789473684210525,1.272431014712469,0.1895563286100684,0.04791666666666666,0.041170288923670174,6.706983152998643,16.448770748429048,19.663067872529606
5,0.21052631578947367,1.2690872942209501,0.214462854245777,0.075,0.058301996595464416,7.500980061902963,17.168325414554317,20.310933100011663
5,0.2631578947368421,1.1694243650181833,0.24555346519740198,0.0625,0.037021804859943275,6.934074421885962,17.473217936574315,19.70794726546626
5,0.3157894736842105,1.1688273339243878,0.23528030216882292,0.06875,0.051075780758760396,7.330025998106774,17.52802472129789,21.172861041441127
5,0.3684210526315789,1.1756468183129967,0.2199013890334152,0.075,0.05507835991561616,7.539488897327284,17.60657031175025,20.908292871137053
5,0.42105263157894735,1.124528844275458,0.168649326213189,0.07291666666666666,0.03544567955097503,7.2600531128844,17.92295593908452,21.86142791077968
5,0.47368421052631576,1.0942019504942888,0.2371933610802814,0.0875,0.04463136861364981,7.527982889584173,18.148304277302582,21.174299481514634
5,0.5263157894736842,1.1570151178955683,0.21340902871774184,0.06875,0.05453652405627215,7.23467834704473,17.382270968088623,20.689978149638016
5,0.5789473684210527,0.9343016128522127,0.1829241049772563,0.1,0.053050235488451114,7.266353393417965,18.535187252509925,21.83286044409
5,0.631578947368421,0.9753637615346138,0.2044837343436756,0.1125,0.05424252448022957,7.956535471320097,18.765850696770222,22.15863303707717
5,0.6842105263157894,0.8307223629205043,0.22277396455283663,0.09791666666666667,0.07060075335482621,7.543819195327622,18.62426598463971,23.03694300529309
5,0.7368421052631579,0.801871158093882,0.21217801708839423,0.11458333333333333,0.050355098698267695,7.4062582099686125,18.92501685808966,22.262459788509286
5,0.7894736842105263,0.6591480032016019,0.2237170224591515,0.10625,0.05651133250733331,7.24817706291004,18.81231958454483,22.822729398466812
5,0.8421052631578947,0.7100744703183359,0.1734269915704442,0.1125,0.04296231178507656,7.917291631100194,19.017141565904183,23.715093090523702
5,0.894736842105263,0.5661544643987547,0.17619400379353828,0.11875,0.07188334238389796,7.3322347511002395,19.2293107885019,23.332554358159626
5,0.9473684210526315,0.357785116949671,0.19580160192546944,0.14375,0.05487059470921279,7.195742891952079,19.2629527239862,23.655170356825728
5,1.0,0.06941942355127448,0.01866866212021066,0.16041666666666668,0.05453652405627215,7.133132210682035,19.489246737504114,24.272298330777062
10,0.0,1.5560477273878586,0.1599326647634114,0.024999999999999998,0.02835654364078002,13.521915404571379,28.480925190106536,36.28318892360104
10,0.05263157894736842,1.545542239005031,0.16745881809928945,0.0375,0.03799622942204131,14.474568702020502,31.02806335150754,38.116897620426286
10,0.10526315789473684,1.400022829646307,0.2114689568678886,0.0625,0.058145059577030055,14.173263903445667,31.713695427671734,37.422837151132995
10,0.15789473684210525,1.4155977776491597,0.14245074238371688,0.029166666666666664,0.030528962377710273,13.3316828415619,29.868488509259002,35.13428164222447
10,0.21052631578947367,1.4779027473208957,0.1913445248400873,0.05,0.04985358680134323,14.135264183524239,31.61916307462572,36.51319436864149
10,0.2631578947368421,1.4068025289204746,0.2018685831948374,0.06458333333333334,0.05487059470921279,14.61644995496114,33.197123239485904,37.6012376665674
10,0.3157894736842105,1.3737643230231242,0.1457732199044851,0.07916666666666666,0.050400443235774944,15.047279837311908,34.29217792197089,39.225227954107105
10,0.3684210526315789,1.3615375953260054,0.18260189705081886,0.04375,0.03935471839118052,13.85854425965895,31.99708729652108,37.69283303910866
10,0.42105263157894735,1.2031490012105799,0.1875352027791906,0.07083333333333333,0.045038969481215094,14.009832681321313,34.63435547705044,40.24808976795092
10,0.47368421052631576,1.2643400882400195,0.2737347816115249,0.06875,0.04925430785327577,14.514306562389885,33.14332513035676,41.87609531607741
10,0.5263157894736842,1.1253584135527026,0.23102179743766976,0.06875,0.04333291160388574,14.104378531462558,34.34556990247948,40.15040522000179
10,0.5789473684210527,1.1349983316131105,0.2075764219683439,0.0875,0.044631368613649816,15.361532594002469,35.621085280978555,41.88525691834086
10,0.631578947368421,1.1518808419997466,0.2111476210122022,0.0875,0.060305023890491485,15.549766060451649,34.51741993570601,43.41014341204494
10,0.6842105263157894,1.069224412634321,0.21724068236201632,0.09166666666666666,0.05507835991561615,14.56966670687774,36.3262368078684,42.94357365425611
10,0.7368421052631579,0.9548706652368155,0.17632878143917075,0.09166666666666666,0.05339360629309895,14.270044625450911,35.525873224041234,43.716950861716214
10,0.7894736842105263,0.8822671026112502,0.17754742530903317,0.10208333333333333,0.04375261061551087,14.938826853561121,37.08470198782901,44.01113698531533
10,0.8421052631578947,0.7115312366363115,0.19120307134824077,0.10208333333333333,0.051432335040510244,13.4465979467825,36.96552547936399,45.55093154018522
10,0.894736842105263,0.6277961028961563,0.15808998516673498,0.13125,0.03386365420363537,15.236158095930387,37.889936639343105,47.13949788117354
10,0.9473684210526315,0.5025193870271123,0.1703091883125504,0.13958333333333334,0.04736283674035549,14.869519240767815,38.587138500422974,47.86774185926693
10,1.0,0.07229939611423823,0.010920235469172031,0.17708333333333331,0.046584749531245626,15.535048820170696,39.27840596053744,49.19161247777351
