n_batteries,feeder_limit_kw,baseline_sync_mean,baseline_sync_std,baseline_violation_mean,baseline_violation_std,sync_collapse_threshold,failure_threshold,rho_c_sync_collapse,rho_c_failure,protection_gap
5,30.0,1.3266585289925632,0.23992835983247787,0.052083333333333336,0.04458015646985991,0.8468018093276075,0.14124364627305316,0.6842105263157894,0.9473684210526315,0.26315789473684215
10,60.0,1.5560477273878586,0.1599326647634114,0.024999999999999998,0.02835654364078002,1.2361823978610358,0.08171308728156004,0.42105263157894735,0.5789473684210527,0.1578947368421053
20,120.0,1.6471252746224825,0.14153431823610166,0.041666666666666664,0.03576646146995634,1.3640566381502792,0.11319958960657933,0.3684210526315789,0.894736842105263,0.5263157894736841
30,180.0,1.6098385189555864,0.13721352870348621,0.024999999999999998,0.028356543640780024,1.335411461548614,0.08171308728156004,0.5789473684210527,0.5789473684210527,0.0
50,300.0,1.640841314518917,0.15451986821606106,0.01875,0.03163144393817701,1.331801578086795,0.08201288787635402,0.5789473684210527,0.5263157894736842,-0.052631578947368474
