topology,rho_agents,run_id,run_seed,sync_index,mean_aggregate_battery_kw,std_aggregate_battery_kw,feeder_violation_fraction
legacy_ring,0.0,0,477145595,2.1358387651759574,-15.870002717892596,66.3074402140106,0.4166666666666667
legacy_ring,0.0,1,2182562173,2.043087730827815,-12.411717731818653,64.75198948807953,0.4166666666666667
legacy_ring,0.0,2,3334677604,2.0133600035094683,-13.416317298995656,61.24345166688246,0.3333333333333333
legacy_ring,0.0,3,617266949,2.18351683648301,-12.946299345618135,62.148097897957214,0.375
legacy_ring,0.0,4,3004287262,2.111055149031491,-12.904693721073544,65.07412939931992,0.4166666666666667
legacy_ring,0.0,5,3717605747,2.1107345742754338,-14.164787167956364,61.37473819679439,0.375
legacy_ring,0.0,6,458133594,2.1835696985696518,-13.509380928621171,59.00374363462763,0.4166666666666667
legacy_ring,0.0,7,3659025050,2.2300624354157823,-14.600084373971738,63.90947774133176,0.375
legacy_ring,0.0,8,4002066603,2.0357440027101785,-13.872280689455849,63.58165148400165,0.4166666666666667
legacy_ring,0.0,9,1470612592,2.197890366310625,-13.167474146797643,63.08539413275887,0.4583333333333333
legacy_ring,0.0,10,3226577724,2.0657293599363205,-12.484479932861786,63.94098978320782,0.3333333333333333
legacy_ring,0.0,11,1059484151,2.056267983248847,-12.716452727479274,64.31825131208373,0.375
legacy_ring,0.0,12,4062615088,2.0146021537571457,-12.852688196200182,65.46025057899952,0.375
legacy_ring,0.0,13,661268550,2.1307306371639383,-13.661748982709867,63.32494390553091,0.4166666666666667
legacy_ring,0.0,14,2343320687,2.022192217799037,-13.64597774490585,65.46499822397499,0.3333333333333333
legacy_ring,0.0,15,3168816373,2.0430059715387623,-14.610052251308245,63.881864430015526,0.4166666666666667
legacy_ring,0.0,16,1992428494,2.2740283637428083,-15.261933164884455,65.33172233550619,0.5
legacy_ring,0.0,17,839608164,2.0473381338428642,-13.90353547349028,65.9811364219962,0.4166666666666667
legacy_ring,0.0,18,1588356929,1.9160220819191451,-13.50116294420985,68.17695286746162,0.375
legacy_ring,0.0,19,1377462783,2.1092168913575886,-13.163670900693333,64.59108868087772,0.375
legacy_ring,0.02564102564102564,0,3137489066,2.1282980745403446,-13.72171434918104,66.1247239957154,0.4166666666666667
legacy_ring,0.02564102564102564,1,3755237035,2.0500374894207294,-13.86759160111005,66.33287906776434,0.3333333333333333
legacy_ring,0.02564102564102564,2,3963831858,1.9434826836198058,-13.852569103454206,68.74146562331788,0.4166666666666667
legacy_ring,0.02564102564102564,3,3417885860,2.0075027320385095,-13.021875718574075,69.04158938402051,0.4583333333333333
legacy_ring,0.02564102564102564,4,4023286566,2.1853783261983257,-13.28972140958669,65.28755954436309,0.4166666666666667
legacy_ring,0.02564102564102564,5,1875472584,2.095038407688426,-13.842529250545775,66.2432680961627,0.375
legacy_ring,0.02564102564102564,6,2497877833,2.1680648089896235,-12.590414140768587,62.823930863574226,0.4166666666666667
legacy_ring,0.02564102564102564,7,3212593140,2.08735493570812,-13.641590947880635,63.1640642492472,0.375
legacy_ring,0.02564102564102564,8,969150605,1.9554574307746375,-14.572983054931797,70.13090608106943,0.4166666666666667
legacy_ring,0.02564102564102564,9,3487462769,2.166046450151477,-13.42827777371977,60.54954405247836,0.375
legacy_ring,0.02564102564102564,10,1098771951,2.033580792749348,-12.93821619560922,63.88083192323208,0.375
legacy_ring,0.02564102564102564,11,150825554,2.1305308053847436,-11.52482164184282,65.05089767396431,0.375
legacy_ring,0.02564102564102564,12,4071431024,2.192013199818046,-13.661119821549846,62.269858486346045,0.4166666666666667
legacy_ring,0.02564102564102564,13,105015560,2.117621997117048,-13.72816508708533,65.26352067267338,0.4166666666666667
legacy_ring,0.02564102564102564,14,1806928848,1.955677593744559,-14.556866993732365,65.07284696249897,0.375
legacy_ring,0.02564102564102564,15,3421249527,2.235555211162644,-14.179257809658786,63.363844595821554,0.4583333333333333
legacy_ring,0.02564102564102564,16,4189938447,1.940110106905587,-11.486796255932028,65.53836977779532,0.375
legacy_ring,0.02564102564102564,17,662640976,2.2329612107868546,-13.484942846262827,63.749733222519616,0.375
legacy_ring,0.02564102564102564,18,440709771,2.074010080791663,-14.645739168191307,69.2626247854601,0.375
legacy_ring,0.02564102564102564,19,667425544,2.3018816689301578,-12.760357066273178,55.42846314150381,0.4583333333333333
legacy_ring,0.05128205128205128,0,2846134152,2.0615664705398413,-14.246548514075931,68.76710134355527,0.4166666666666667
legacy_ring,0.05128205128205128,1,3177288069,2.1795187508987834,-14.22087013444082,65.72325872973242,0.3333333333333333
legacy_ring,0.05128205128205128,2,1390383170,1.961631467915866,-14.34202469782212,70.33416959086503,0.4166666666666667
legacy_ring,0.05128205128205128,3,1692526240,2.3328726161268682,-13.887660490880693,60.238345467031856,0.4166666666666667
legacy_ring,0.05128205128205128,4,2175426623,2.1043811284912795,-13.703377610250973,60.78263993430859,0.4166666666666667
legacy_ring,0.05128205128205128,5,1525648979,2.221696883698964,-13.523166788947266,68.22277214764493,0.375
legacy_ring,0.05128205128205128,6,3981711499,1.8964716699988264,-14.129007041036166,66.92989320315306,0.4166666666666667
