n_batteries,baseline_violation_mean,rho_c_abs_violation_gt_0.05,rho_c_abs_violation_gt_0.10,rho_c_abs_violation_gt_0.15,rho_c_abs_lift_gt_0.03,rho_c_abs_lift_gt_0.05,rho_c_abs_lift_gt_0.10,rho_c_ratio_gt_2.0x,rho_c_ratio_gt_4.0x,rho_c_ratio_gt_8.0x
5,0.0520833333333333,0.0,0.631578947368421,1.0,0.4736842105263157,0.631578947368421,1.0,0.631578947368421,,
10,0.0249999999999999,0.1052631578947368,0.7894736842105263,1.0,0.1052631578947368,0.3157894736842105,0.894736842105263,0.1052631578947368,0.7894736842105263,
20,0.0416666666666666,0.3157894736842105,0.6842105263157894,1.0,0.4736842105263157,0.6842105263157894,1.0,0.631578947368421,1.0,
30,0.0249999999999999,0.3157894736842105,0.7368421052631579,1.0,0.4210526315789473,0.4210526315789473,0.894736842105263,0.3157894736842105,0.7368421052631579,
50,0.01875,0.3684210526315789,0.8421052631578947,1.0,0.3684210526315789,0.3684210526315789,0.8421052631578947,0.2631578947368421,0.3684210526315789,1.0
