topology,sync_collapse_threshold,failure_threshold,rho_c_sync_collapse,rho_c_failure,protection_gap
legacy_ring,1.4421302975482122,0.07141474822224032,0.3333333333333333,0.4615384615384615,0.1282051282051282
linear,1.5643958603773305,0.06351191238436664,0.3076923076923077,0.358974358974359,0.051282051282051266
small_world,1.51962623787492,0.07709330035168174,0.28205128205128205,0.48717948717948717,0.20512820512820512
star,1.4209869375125481,0.08917998503088288,0.41025641025641024,0.5897435897435898,0.17948717948717952
