n_batteries,rho_agents,run,feeder_limit_kw,sync_index,feeder_violation_fraction,mean_abs_aggregate_battery_power_kw,peak_charge_kw,peak_discharge_kw
5,0.0,0,30.0,1.1068020065380093,0.041666666666666664,4.671505252564675,13.990156968877251,20.0
5,0.0,1,30.0,0.8208397250871973,0.041666666666666664,3.6443060505619758,19.326944401317153,16.16798333250113
5,0.0,2,30.0,1.3953800255964712,0.041666666666666664,3.8094340130643043,14.131718956900468,5.8795894752787685
5,0.0,3,30.0,1.3827073719167131,0.041666666666666664,7.375775948666832,16.666058541728713,19.28225907541527
5,0.0,4,30.0,1.4935524515585754,0.041666666666666664,7.35786285142991,16.25722850116738,23.792882732442425
5,0.0,5,30.0,1.2804646239054855,0.08333333333333333,7.044205961346506,19.231160483270283,20.0
5,0.0,6,30.0,1.3530823908329108,0.0,6.042279416109736,12.619882414399832,12.915929641634445
5,0.0,7,30.0,1.5563833632018227,0.08333333333333333,8.042492769166017,14.782703577747057,25.0
5,0.0,8,30.0,1.2762791447160564,0.041666666666666664,7.909811724355713,18.899439173711055,23.439073286797456
5,0.0,9,30.0,1.53931984507269,0.08333333333333333,6.407927046273261,14.97279161644343,21.30242491338418
5,0.0,10,30.0,0.8232249282340036,0.08333333333333333,4.817003940812778,18.120599228957918,17.60387579545627
5,0.0,11,30.0,1.3984811762148277,0.041666666666666664,8.517924090514787,18.532165919459395,24.724710900396158
5,0.0,12,30.0,1.3914742612585862,0.041666666666666664,6.650393450076998,15.416188035287568,16.086460954306116
5,0.0,13,30.0,1.4824828203679905,0.0,7.698566935764745,16.295437763529684,17.38990321158272
5,0.0,14,30.0,1.4267893816658457,0.041666666666666664,7.74302751304007,14.858827810901772,24.150238929284612
5,0.0,15,30.0,1.6750253467297374,0.041666666666666664,7.253948870584555,18.677048094849493,13.41085069751395
5,0.0,16,30.0,1.2523939437275264,0.041666666666666664,7.0517586542536135,14.306673035518047,19.388033366567313
5,0.0,17,30.0,1.0068422995195663,0.20833333333333334,8.972672911839034,19.36350996360119,19.750405691219854
5,0.0,18,30.0,1.65984045536715,0.041666666666666664,8.674712168450359,17.376090785506722,21.427632289159703
5,0.0,19,30.0,1.2118050183401012,0.0,7.318311083355183,15.511890502026123,21.915522686079406
5,0.05263157894736842,0,30.0,1.015532655564183,0.08333333333333333,6.43684939065322,19.985142013368723,18.03659066706527
5,0.05263157894736842,1,30.0,1.6029780547236865,0.041666666666666664,6.364768935201442,15.878456564906969,13.582576762457133
5,0.05263157894736842,2,30.0,1.2855299052895939,0.041666666666666664,7.56330261359463,14.52286375870634,20.12685138871324
5,0.05263157894736842,3,30.0,1.3253660264587934,0.08333333333333333,7.38352903129172,16.13658160813183,18.378265585467002
5,0.05263157894736842,4,30.0,1.5239349271305844,0.08333333333333333,7.1129791966213345,18.44624098864327,19.108463997670253
5,0.05263157894736842,5,30.0,0.9874542308498384,0.041666666666666664,3.89917149424391,17.91064970488844,14.308252706221902
5,0.05263157894736842,6,30.0,1.2120197860512887,0.08333333333333333,7.779505831508722,17.05418951399974,23.24235027058171
5,0.05263157894736842,7,30.0,1.309795840348788,0.041666666666666664,7.14975557907371,15.745514639501101,20.999050345270852
5,0.05263157894736842,8,30.0,1.0660808765306458,0.0,4.618381574213729,15.226498340743547,20.306436064390788
5,0.05263157894736842,9,30.0,1.330829588979086,0.041666666666666664,6.905389991002042,15.946582851786044,16.058136397316858
5,0.05263157894736842,10,30.0,1.194284985200352,0.041666666666666664,5.661129994794316,16.95495599030534,14.545785021420041
5,0.05263157894736842,11,30.0,1.6634788323935707,0.125,10.22884992531951,17.392181759541636,18.438967971870493
5,0.05263157894736842,12,30.0,1.216976422910838,0.125,7.7761637245694075,18.581566458774883,20.0
5,0.05263157894736842,13,30.0,1.510186372742585,0.0,5.813420939665602,11.637086659285373,15.0
5,0.05263157894736842,14,30.0,1.3755642240051131,0.16666666666666666,9.708072714159876,19.612428182407516,20.0
5,0.05263157894736842,15,30.0,1.053830779089351,0.041666666666666664,5.555712445797886,15.527772064447964,20.121196207993997
5,0.05263157894736842,16,30.0,1.2678418149442323,0.125,7.398852436836471,17.401198561382355,24.966459311446435
5,0.05263157894736842,17,30.0,1.004745990193074,0.0,4.362244230990876,12.917271101094329,16.19947597291202
5,0.05263157894736842,18,30.0,1.1485981513111474,0.041666666666666664,6.864598155642042,18.46610549430998,16.917021788601232
5,0.05263157894736842,19,30.0,1.7763411006773486,0.08333333333333333,8.837718043573007,19.105516705914262,18.32232051192404
5,0.10526315789473684,0,30.0,1.2528743286088062,0.08333333333333333,7.62636079082943,19.196664952611684,20.0
5,0.10526315789473684,1,30.0,1.5017369956541087,0.041666666666666664,7.978498142014023,11.913093026688209,20.0
5,0.10526315789473684,2,30.0,1.1060523333636767,0.08333333333333333,5.452910313634828,18.062861331944188,14.86927360900063
5,0.10526315789473684,3,30.0,1.2819245927480922,0.125,9.873530885243644,18.653411621364146,24.5
5,0.10526315789473684,4,30.0,1.5735767347760818,0.0,7.899092636805551,15.919439189342269,18.747832558898793
5,0.10526315789473684,5,30.0,0.9302435357423772,0.125,7.523470246474815,20.96674248263286,21.841375955603894
5,0.10526315789473684,6,30.0,1.0178271180482164,0.08333333333333333,8.597948670461198,19.03441989103966,24.660192534270514
5,0.10526315789473684,7,30.0,1.3875367808341752,0.08333333333333333,8.333666882726915,17.057350349958913,17.44276721382321
5,0.10526315789473684,8,30.0,1.6039691139792307,0.041666666666666664,6.596133677711176,14.129757889140402,15.0
5,0.10526315789473684,9,30.0,1.2184043167009213,0.0,4.05579606040727,11.680529039734987,10.218847481639193
5,0.10526315789473684,10,30.0,1.470897191889377,0.08333333333333333,8.526508283844077,17.11745869462466,24.737921506719506
5,0.10526315789473684,11,30.0,1.4460959545054466,0.08333333333333333,6.250443109074948,14.934394207924777,22.46496962538612
5,0.10526315789473684,12,30.0,1.4589685390356377,0.0,7.298991123760583,15.113376051498616,20.0
5,0.10526315789473684,13,30.0,0.7558331210338533,0.041666666666666664,4.392026870212191,18.836380804182305,18.04290218481804
5,0.10526315789473684,14,30.0,1.2257709604501354,0.041666666666666664,7.109153542537964,18.749198963298028,13.910769993570005
5,0.10526315789473684,15,30.0,1.0020224837034428,0.125,6.665243273913835,14.998267480884675,23.114605041851426
5,0.10526315789473684,16,30.0,1.0713065654718592,0.041666666666666664,4.906823534656066,15.265726271430523,17.251697348724
5,0.10526315789473684,17,30.0,0.797961723966961,0.041666666666666664,4.330882549872542,17.68116741420394,14.505322370857767
5,0.10526315789473684,18,30.0,1.2880524930998658,0.08333333333333333,6.840094987583804,18.708099846771233,17.223823740712856
5,0.10526315789473684,19,30.0,1.2390450253693999,0.08333333333333333,6.469614016115185,14.850073375594848,22.069731172767327
5,0.15789473684210525,0,30.0,1.0173203628134366,0.041666666666666664,6.74220237975715,15.466785487849787,23.17613845843475
5,0.15789473684210525,1,30.0,1.1774583278394195,0.041666666666666664,6.5204069001051055,16.050064089505447,21.91003304802404
5,0.15789473684210525,2,30.0,1.299473068994953,0.125,8.322370366862986,14.147309913521163,24.69887556786982
5,0.15789473684210525,3,30.0,0.8545636798764943,0.08333333333333333,5.628901723979088,18.653843961507512,17.190588444886764
5,0.15789473684210525,4,30.0,1.351846501498308,0.0,5.5453877937955385,12.087128426966606,15.0
5,0.15789473684210525,5,30.0,1.4057081005976488,0.0,9.598577138262018,19.662964053482565,20.0
5,0.15789473684210525,6,30.0,1.3806245761146687,0.0,5.69151934438226,14.18995829819629,19.652115201653615
5,0.15789473684210525,7,30.0,1.0785957358513174,0.0,4.35740322499033,15.513062508021601,21.82437603925305
5,0.15789473684210525,8,30.0,1.267869197041713,0.041666666666666664,7.495942847007693,18.50709479252568,21.29489682246217
5,0.15789473684210525,9,30.0,1.380747376025156,0.0,4.555840863034899,15.62057034141426,11.99690300633725
5,0.15789473684210525,10,30.0,1.4178101545612949,0.08333333333333333,7.592792590474251,15.58231186217687,20.456260155199548
5,0.15789473684210525,11,30.0,1.645720235438299,0.08333333333333333,7.9606934190297975,14.091431071757713,17.96478949220695
5,0.15789473684210525,12,30.0,1.139283785439899,0.08333333333333333,6.148848655509038,18.124032742421807,18.843621934185258
5,0.15789473684210525,13,30.0,1.231593890003915,0.08333333333333333,8.146654069110022,20.30018259369321,21.778373703479822
5,0.15789473684210525,14,30.0,1.184507823488595,0.08333333333333333,7.495164513338807,19.091542617314445,25.0
5,0.15789473684210525,15,30.0,1.264583263314476,0.0,5.965246519465807,16.005720856242185,18.93852802940221
5,0.15789473684210525,16,30.0,1.4621359474023112,0.041666666666666664,8.093644429756095,19.184797909175344,25.0
5,0.15789473684210525,17,30.0,1.062795617824327,0.0,4.046489592220095,11.372488833462981,18.423840667959446
5,0.15789473684210525,18,30.0,1.5562337023344182,0.08333333333333333,8.123021178160016,17.040211877159102,15.0
5,0.15789473684210525,19,30.0,1.2697489477887316,0.08333333333333333,6.108555510731854,18.283912732186437,15.112016879237423
5,0.21052631578947367,0,30.0,1.4977578304564687,0.041666666666666664,7.578609297160514,19.187656685509783,20.390116095203545
5,0.21052631578947367,1,30.0,1.4818355132298109,0.041666666666666664,6.77897840600648,14.579154143843962,20.425255098173473
5,0.21052631578947367,2,30.0,1.292673854977011,0.08333333333333333,7.701324200403388,15.39978603532951,19.00840159735097
5,0.21052631578947367,3,30.0,1.4479066438375687,0.08333333333333333,7.008053110250656,17.339786734342432,15.0
5,0.21052631578947367,4,30.0,1.1357865964876446,0.041666666666666664,6.054369551222474,17.699201411377715,14.836036930577443
5,0.21052631578947367,5,30.0,1.4735003472874864,0.0,5.358073598398307,15.6257086969294,18.181685680024067
5,0.21052631578947367,6,30.0,1.2272880967760393,0.041666666666666664,7.126170516799532,19.544606560268925,23.28062334714914
5,0.21052631578947367,7,30.0,0.8616480635422179,0.20833333333333334,9.201951590926091,18.22033532174629,21.274355312232974
5,0.21052631578947367,8,30.0,1.0753639193056832,0.125,7.3918584898936786,14.843870045678429,25.0
5,0.21052631578947367,9,30.0,1.4338434171318237,0.041666666666666664,6.531158324705564,18.580647129920397,20.0
5,0.21052631578947367,10,30.0,1.356058093722831,0.125,8.568134035597021,18.259017037570345,24.692821552146267
5,0.21052631578947367,11,30.0,1.5858725006040413,0.041666666666666664,9.385619335201293,18.28872678036147,19.38803818495401
5,0.21052631578947367,12,30.0,1.2093171282373136,0.08333333333333333,9.353330726319033,17.470427590841076,24.830865122961164
5,0.21052631578947367,13,30.0,1.1352768931651973,0.08333333333333333,7.815662153450693,19.0031689232351,22.288392420799397
5,0.21052631578947367,14,30.0,1.4027512159165838,0.125,7.807339141023888,17.058744557817352,19.5
5,0.21052631578947367,15,30.0,1.0304905980875765,0.041666666666666664,5.156532378594246,15.109461770888233,12.875591832058772
5,0.21052631578947367,16,30.0,1.4938998420674927,0.041666666666666664,8.792637628323392,17.179122340448863,21.433559437181454
5,0.21052631578947367,17,30.0,1.2905802195234208,0.0,6.044880989284273,12.62483246461062,18.812919389420614
5,0.21052631578947367,18,30.0,1.0835716509935398,0.041666666666666664,6.769363218647643,18.449445047939093,20.0
5,0.21052631578947367,19,30.0,0.8663234590692502,0.20833333333333334,9.595554545851096,18.902809012427326,25.0
5,0.2631578947368421,0,30.0,0.7332075715307503,0.041666666666666664,6.2270440330184025,21.482555097419052,23.59306691049183
5,0.2631578947368421,1,30.0,0.7289281549902499,0.08333333333333333,7.093173598063539,19.251157881011043,18.899335990089973
5,0.2631578947368421,2,30.0,1.2797728460208888,0.041666666666666664,6.02553684870282,17.920629478526862,13.454917789280339
5,0.2631578947368421,3,30.0,1.3948765407347485,0.0,3.8379930773599042,11.072980257385147,6.414936297430158
5,0.2631578947368421,4,30.0,1.0872345593042334,0.0,6.271578573258426,15.588746482623112,18.495018805927366
5,0.2631578947368421,5,30.0,1.5085552074009332,0.08333333333333333,9.186870407998986,16.987282754982598,16.50665420047683
5,0.2631578947368421,6,30.0,1.036250219622267,0.041666666666666664,5.829632811603538,19.327449643564695,14.973665980867331
5,0.2631578947368421,7,30.0,1.2968075465784057,0.08333333333333333,6.7475329339279675,14.630980323892736,18.98212636903424
5,0.2631578947368421,8,30.0,0.8010830852632785,0.041666666666666664,4.764854293149556,18.962802715455464,22.251363688934312
5,0.2631578947368421,9,30.0,0.970310178680671,0.08333333333333333,5.6885997881572266,19.605938340597056,22.077743740955537
5,0.2631578947368421,10,30.0,1.310718608170118,0.125,6.9052069569918855,17.60797245325735,25.0
5,0.2631578947368421,11,30.0,1.0324880568068042,0.041666666666666664,6.664719355883004,19.083008758907006,21.175820985537253
5,0.2631578947368421,12,30.0,1.3645527900365764,0.08333333333333333,7.4702868703008205,15.791475106785056,19.8731492937354
5,0.2631578947368421,13,30.0,1.0720427011088371,0.125,8.582397236143523,19.931346743298885,25.0
5,0.2631578947368421,14,30.0,1.4592769717059906,0.041666666666666664,7.732071057991867,13.825243992035968,20.0
5,0.2631578947368421,15,30.0,1.0110434332547822,0.041666666666666664,7.197669391135541,18.563311575523354,20.374579651494013
5,0.2631578947368421,16,30.0,1.2357947570835661,0.041666666666666664,7.7546938391306455,16.79401008965314,25.0
5,0.2631578947368421,17,30.0,1.530627335762116,0.08333333333333333,9.865942911686208,18.440950170571192,25.0
5,0.2631578947368421,18,30.0,1.1731431404394053,0.125,8.836601466741643,18.447034029027016,20.0
5,0.2631578947368421,19,30.0,1.36177359586904,0.041666666666666664,5.999082986473724,16.149482836969568,17.086565605070632
5,0.3157894736842105,0,30.0,1.0773825326403488,0.125,8.497125885082026,17.28750913812761,22.834852531470837
5,0.3157894736842105,1,30.0,1.1657929172525598,0.041666666666666664,8.316732133072248,17.877148413688854,25.0
5,0.3157894736842105,2,30.0,1.3596300298063175,0.041666666666666664,8.185737297666732,18.036271910569177,14.915160161967652
5,0.3157894736842105,3,30.0,1.4735485190828108,0.041666666666666664,7.714226763027781,16.330698134207612,17.77459174320532
5,0.3157894736842105,4,30.0,1.6354346663353254,0.08333333333333333,8.423987213308148,19.127762287617443,16.41802783028502
5,0.3157894736842105,5,30.0,1.2136797799683496,0.041666666666666664,5.586978441671931,16.350135290669808,20.9023988399318
5,0.3157894736842105,6,30.0,1.1032468228295578,0.08333333333333333,7.731434945227136,14.89209278492163,24.71217125949956
5,0.3157894736842105,7,30.0,0.9633941636034101,0.041666666666666664,8.463068586616727,16.80718126593993,24.0846625799443
5,0.3157894736842105,8,30.0,1.0923342637431164,0.125,8.304995437549698,18.26445241273264,22.029389819162464
5,0.3157894736842105,9,30.0,0.894898299076972,0.041666666666666664,4.964143227202601,19.49368525577554,20.428491050315717
5,0.3157894736842105,10,30.0,1.0304091721162587,0.20833333333333334,8.924197247169639,18.714423450093722,25.0
5,0.3157894736842105,11,30.0,1.5594321030256726,0.0,7.27349211135559,16.46930505082856,21.366618910969315
5,0.3157894736842105,12,30.0,1.165915399389029,0.08333333333333333,10.111832033654172,18.530063036698547,24.5
5,0.3157894736842105,13,30.0,1.2178056668696553,0.08333333333333333,7.745188924055635,19.022120478461165,21.89884641633734
5,0.3157894736842105,14,30.0,1.0800030459520247,0.08333333333333333,6.574207025597474,18.318377977960367,22.56285409847991
5,0.3157894736842105,15,30.0,0.7754051058351514,0.041666666666666664,4.2151491156176455,14.136538233703732,21.00035879279602
5,0.3157894736842105,16,30.0,0.7385613116911621,0.0,4.646694465860869,15.539186752154249,22.69032924034642
5,0.3157894736842105,17,30.0,1.2092295184474198,0.08333333333333333,7.14266357498185,19.823659528400807,20.662279958674617
5,0.3157894736842105,18,30.0,1.2685936920599754,0.125,8.155316939547818,20.525241215321415,15.0
5,0.3157894736842105,19,30.0,1.3518496687626376,0.0,5.623348593869747,15.014641808084955,19.67618759543624
5,0.3684210526315789,0,30.0,1.4661018352865227,0.041666666666666664,7.532739992431986,15.194023978025378,19.078704283963113
5,0.3684210526315789,1,30.0,0.9997777218411744,0.08333333333333333,6.316209729660666,19.58529048629375,20.0
5,0.3684210526315789,2,30.0,1.1816319946217606,0.041666666666666664,6.426568730832628,17.129365510596436,18.54282738950793
5,0.3684210526315789,3,30.0,1.0386891160329947,0.08333333333333333,7.763329111421865,18.512595731158534,20.610594622460003
5,0.3684210526315789,4,30.0,1.4347094225841965,0.08333333333333333,8.532438362025506,18.203356792829766,24.608020558302474
5,0.3684210526315789,5,30.0,1.1703595913635458,0.08333333333333333,7.32534243951265,17.014994170034313,25.0
5,0.3684210526315789,6,30.0,0.6724735876528373,0.041666666666666664,5.194663691373573,18.100055955607733,23.41506956849572
5,0.3684210526315789,7,30.0,1.2027066966854385,0.041666666666666664,7.638339238986514,19.93963152114165,19.5
5,0.3684210526315789,8,30.0,1.4975466443295966,0.0,5.945238339682754,9.97969427792714,20.168341939797727
5,0.3684210526315789,9,30.0,1.0561819261799121,0.125,9.037599720160282,20.03208265509342,25.0
5,0.3684210526315789,10,30.0,1.5313530224411707,0.125,7.523389041734755,15.544370343505951,20.844344516411986
5,0.3684210526315789,11,30.0,1.1189018447724894,0.041666666666666664,6.557594106308333,19.02661261399388,20.0
5,0.3684210526315789,12,30.0,1.3233874457674775,0.041666666666666664,5.959291363472391,15.41234346448465,10.0
5,0.3684210526315789,13,30.0,0.9743340139264495,0.20833333333333334,10.105480726173505,20.487012137384912,25.0
5,0.3684210526315789,14,30.0,1.0689331206682289,0.125,11.865299714498056,18.346417107127458,24.27347764827245
5,0.3684210526315789,15,30.0,1.0249894123960648,0.08333333333333333,7.821130992612915,19.649180499247354,24.802795700863406
5,0.3684210526315789,16,30.0,1.2759381515381578,0.0,7.041623511202354,15.839794575470636,20.642620183091424
5,0.3684210526315789,17,30.0,1.0476893188576903,0.08333333333333333,7.226075642883185,19.056367259097062,15.932166847534297
5,0.3684210526315789,18,30.0,1.4260292256233413,0.0,6.566841315983368,15.518279141889895,19.5
5,0.3684210526315789,19,30.0,1.0012022736908819,0.16666666666666666,8.41058217558839,19.559938014095074,21.246894164040505
5,0.42105263157894735,0,30.0,1.1116812064024453,0.08333333333333333,7.97400891248417,17.63861618134395,25.0
5,0.42105263157894735,1,30.0,1.1611179397811515,0.08333333333333333,7.2101351316611355,17.817318166584993,22.012422170627403
5,0.42105263157894735,2,30.0,1.1847228400448704,0.125,9.14222559328373,17.79183008668468,21.861359385908933
5,0.42105263157894735,3,30.0,1.036449805138117,0.125,9.286179286302492,21.07708739402627,22.608828549243484
5,0.42105263157894735,4,30.0,1.3303109563685063,0.08333333333333333,8.316211980368896,18.279337712215717,23.343171543007173
5,0.42105263157894735,5,30.0,0.9242130825533149,0.08333333333333333,5.255374313160607,19.412131973738088,18.252980356962432
5,0.42105263157894735,6,30.0,1.1562118917693676,0.0,7.908195313542426,16.30870201587529,25.0
5,0.42105263157894735,7,30.0,1.1590672216813307,0.08333333333333333,7.590289203770593,15.366660578141255,23.159546559936437
5,0.42105263157894735,8,30.0,1.1629823846326788,0.041666666666666664,7.344835737443897,18.14392856435933,22.950013992996084
5,0.42105263157894735,9,30.0,0.8289398121840895,0.08333333333333333,7.074052788373559,18.940642556885038,25.0
5,0.42105263157894735,10,30.0,1.0065260026923462,0.125,7.596374071839901,20.760867663893396,24.191720859242018
5,0.42105263157894735,11,30.0,1.3295278856043315,0.08333333333333333,10.216881490935748,21.245688947359387,22.66969370999674
5,0.42105263157894735,12,30.0,1.0007043645185207,0.08333333333333333,5.493977602435568,13.925512239307222,16.62399302733538
5,0.42105263157894735,13,30.0,0.9917223344161844,0.08333333333333333,5.359033964114549,17.966402136137532,19.728806756718473
5,0.42105263157894735,14,30.0,1.3475126989285424,0.0,6.121169356499905,11.006627738430362,23.15326480087683
5,0.42105263157894735,15,30.0,0.9925847622159255,0.041666666666666664,5.851758019216213,20.52201663249804,19.816896008663583
5,0.42105263157894735,16,30.0,1.1056454255242016,0.08333333333333333,7.6745951233086815,18.897483570908015,20.642111731753488
5,0.42105263157894735,17,30.0,0.8878234902524977,0.041666666666666664,5.684358174815524,17.32701286153995,22.21374876232514
5,0.42105263157894735,18,30.0,1.3395296475095009,0.08333333333333333,7.294176306398977,16.76692695165883,25.0
5,0.42105263157894735,19,30.0,1.433303133291236,0.041666666666666664,6.807229887731411,19.264324810103048,13.999999999999998
5,0.47368421052631576,0,30.0,0.8179035290792385,0.041666666666666664,4.685050807881755,14.460455278982936,20.0
5,0.47368421052631576,1,30.0,0.9538977403470114,0.041666666666666664,5.803841238681005,15.40254860673572,25.0
5,0.47368421052631576,2,30.0,0.8457889120581323,0.08333333333333333,7.354276533044708,14.636910381963324,22.345640260563385
5,0.47368421052631576,3,30.0,1.461771870627026,0.125,8.943225759950211,20.862093998186868,19.90423983156928
5,0.47368421052631576,4,30.0,1.1807749883970136,0.041666666666666664,6.806793576171581,14.318798427826191,21.556889912834453
5,0.47368421052631576,5,30.0,1.2553362481724166,0.16666666666666666,8.195207664061689,18.8157490434925,23.32521806151343
5,0.47368421052631576,6,30.0,1.3170808376173386,0.08333333333333333,7.337073057468298,18.74402673894648,13.882034035343278
5,0.47368421052631576,7,30.0,1.0537857514421638,0.125,9.746126641370367,18.443132351309014,25.0
5,0.47368421052631576,8,30.0,1.1856865087252233,0.125,8.986384682651485,20.18005086682638,23.472257092932978
5,0.47368421052631576,9,30.0,1.0630031659892722,0.125,8.08514007420454,20.360694150405486,25.0
5,0.47368421052631576,10,30.0,0.5612621238789851,0.08333333333333333,8.045310672523764,20.854694848356484,25.0
