topology,rho_agents,sync_mean,sync_std,violation_mean,violation_std
legacy_ring,0.0,1.6991446952791662,0.128507198865477,0.020833333333333332,0.025290707444453497
legacy_ring,0.02564102564102564,1.6964079403942094,0.1379486240217725,0.03125,0.022921650175840868
legacy_ring,0.05128205128205128,1.6610398168869474,0.1051468183976633,0.025,0.034199278402838464
legacy_ring,0.07692307692307693,1.6919482926653941,0.13719916073298602,0.02708333333333333,0.020390020205399706
legacy_ring,0.10256410256410256,1.6248426494916295,0.1218454735516243,0.03125,0.02661109890243771
legacy_ring,0.1282051282051282,1.646531469096961,0.09233046648475644,0.035416666666666666,0.020390020205399706
legacy_ring,0.15384615384615385,1.5766431522198374,0.13846873764496015,0.025,0.031414043121877164
legacy_ring,0.1794871794871795,1.6419189142367496,0.13496376265867094,0.041666666666666664,0.042749098003548085
legacy_ring,0.20512820512820512,1.557851952808279,0.12880558151909202,0.05,0.037267799624996496
legacy_ring,0.23076923076923075,1.5881768270994248,0.13451246330887295,0.04791666666666666,0.024464289525516655
legacy_ring,0.2564102564102564,1.5022629893206547,0.14484154301832536,0.0375,0.026696803146549476
legacy_ring,0.28205128205128205,1.5245545173519774,0.17676092378871766,0.04791666666666666,0.04333291160388574
legacy_ring,0.3076923076923077,1.5341828099417167,0.13115708298090267,0.041666666666666664,0.03576646146995634
legacy_ring,0.3333333333333333,1.4292636511076087,0.15434381234128253,0.05208333333333333,0.042481075938180964
legacy_ring,0.358974358974359,1.4579483476118313,0.2028488235863062,0.06041666666666666,0.03163144393817701
legacy_ring,0.3846153846153846,1.4375515993791115,0.18760929568275997,0.06041666666666666,0.03439908114507902
legacy_ring,0.41025641025641024,1.4303376028197632,0.14310442149081762,0.06041666666666666,0.03163144393817701
legacy_ring,0.4358974358974359,1.360714240107773,0.16595441191253352,0.0625,0.0438047902531539
legacy_ring,0.4615384615384615,1.3908915429367343,0.18666908410838076,0.08541666666666667,0.04161180598893562
legacy_ring,0.48717948717948717,1.3430416456092273,0.16617804808965825,0.08125,0.05143233504051025
legacy_ring,0.5128205128205128,1.3142117021358852,0.21815249105175571,0.06458333333333333,0.047747125690411
legacy_ring,0.5384615384615384,1.3266892901128624,0.15312898264201016,0.08333333333333333,0.04483563223741419
legacy_ring,0.5641025641025641,1.2789252961630637,0.11804403878509127,0.06875,0.03646224916314252
legacy_ring,0.5897435897435898,1.1629509771479263,0.20986638785198447,0.07708333333333332,0.03646224916314252
legacy_ring,0.6153846153846154,1.235826115726676,0.17545825891555175,0.08958333333333332,0.049254307853275774
legacy_ring,0.641025641025641,1.2258767041286065,0.17484315321364674,0.10416666666666667,0.0438047902531539
legacy_ring,0.6666666666666666,1.2604274680578116,0.18366288227734814,0.075,0.061356498295135266
legacy_ring,0.6923076923076923,1.1459962188252015,0.15514824687098608,0.10208333333333333,0.05317925935673601
legacy_ring,0.717948717948718,1.049604039894841,0.23857652627651643,0.08958333333333332,0.045392617969025224
legacy_ring,0.7435897435897436,1.0315254462152947,0.1754026809361615,0.09583333333333333,0.05253097109302862
legacy_ring,0.7692307692307692,1.0321673089497887,0.15022902558751344,0.08125,0.04375261061551087
legacy_ring,0.7948717948717948,1.0089946616253163,0.20589257160997265,0.10625,0.05810575909293401
legacy_ring,0.8205128205128205,0.8849499866176371,0.16360383067394438,0.11666666666666667,0.03472953139443711
legacy_ring,0.8461538461538461,0.9049216384669216,0.1521521610804053,0.1125,0.050761741360643965
legacy_ring,0.8717948717948718,0.8736781100246047,0.19460849012660827,0.13333333333333333,0.04985358680134323
legacy_ring,0.8974358974358974,0.7385748863985595,0.177611142787788,0.14375,0.043752610615510876
legacy_ring,0.923076923076923,0.7324727312663939,0.2306742651722216,0.14375,0.03935471839118053
legacy_ring,0.9487179487179487,0.6647940494343775,0.17318432364777595,0.12708333333333333,0.04579344356656541
legacy_ring,0.9743589743589743,0.44981407731320333,0.12670992071875536,0.14583333333333331,0.04584330035168174
legacy_ring,1.0,0.14631183205219606,0.018090874622613533,0.18333333333333332,0.051298917604257706
linear,0.0,1.7319633978521556,0.08378376873741251,0.014583333333333332,0.024464289525516655
linear,0.02564102564102564,1.654847488982151,0.13085854445559328,0.02708333333333333,0.02795084971874737
linear,0.05128205128205128,1.6977504701451103,0.13045574711842942,0.03125,0.02984793330880746
linear,0.07692307692307693,1.7040465005399696,0.13963201438418596,0.02708333333333333,0.024464289525516655
linear,0.10256410256410256,1.6653159342455557,0.11329751646440285,0.04583333333333333,0.04032941839779113
linear,0.1282051282051282,1.6616335422721509,0.1646704607946455,0.03333333333333333,0.028993848914102473
linear,0.15384615384615385,1.5963507889755522,0.13279067174572165,0.05,0.031990495664579774
linear,0.1794871794871795,1.577120524809056,0.12668788808775053,0.035416666666666666,0.024464289525516658
linear,0.20512820512820512,1.638477055741982,0.13272111529201677,0.041666666666666664,0.03022817708791715
linear,0.23076923076923075,1.599809618723261,0.11761571787178263,0.04375,0.031631443938177004
linear,0.2564102564102564,1.5713078837393881,0.140283283600881,0.041666666666666664,0.038235955645093626
linear,0.28205128205128205,1.5656473261430937,0.16409887858828137,0.04791666666666666,0.03646224916314252
linear,0.3076923076923077,1.5029692240486205,0.14883921986895846,0.052083333333333336,0.037936061166680246
linear,0.3333333333333333,1.4458499273740262,0.1545223852541787,0.04791666666666666,0.03104832584877477
linear,0.358974358974359,1.4956165203010423,0.14497330357656243,0.06458333333333333,0.03935471839118053
linear,0.3846153846153846,1.4613342136634846,0.21599798213944882,0.04791666666666666,0.03386365420363537
linear,0.41025641025641024,1.5285492862462609,0.1395345814540426,0.05416666666666666,0.038474188203193274
linear,0.4358974358974359,1.4177479423818533,0.1483336884818765,0.05833333333333333,0.041446788262903336
linear,0.4615384615384615,1.3973620653724108,0.14150581663298573,0.06458333333333333,0.03935471839118053
linear,0.48717948717948717,1.3682753231732891,0.10992557625072845,0.06458333333333333,0.04161180598893562
linear,0.5128205128205128,1.3167321764277313,0.15905432982101397,0.07083333333333333,0.04296231178507656
