topology,rho_agents,sync_mean,sync_std,violation_mean,violation_std
legacy_ring,0.0,2.0961996678307933,0.08711260995739045,0.39583333333333337,0.04166666666666667
legacy_ring,0.02564102564102564,2.1000302003260325,0.10555912103890737,0.4,0.034199278402838464
legacy_ring,0.05128205128205128,2.0798086531341005,0.11724044004318225,0.4,0.04144678826290333
legacy_ring,0.07692307692307693,2.0406277745229136,0.10850529261261847,0.4,0.043595696981716406
legacy_ring,0.10256410256410256,2.023229147293163,0.12632935041322282,0.4041666666666667,0.05590169943749474
legacy_ring,0.1282051282051282,2.0093917430135866,0.15616500045231424,0.4145833333333333,0.06264602823644265
legacy_ring,0.15384615384615385,1.996407560648208,0.11807525658434834,0.3854166666666667,0.032766563152377054
legacy_ring,0.1794871794871795,2.009023910417522,0.11405014851570616,0.4104166666666667,0.02795084971874737
legacy_ring,0.20512820512820512,1.8961358457311186,0.11786953438410225,0.38541666666666663,0.044580156469859925
legacy_ring,0.23076923076923075,1.9508943573423365,0.12486381615828726,0.4083333333333333,0.05339360629309896
legacy_ring,0.2564102564102564,1.922429020595284,0.18074154455843053,0.4104166666666667,0.062353629775650024
legacy_ring,0.28205128205128205,1.8973876308489352,0.1556042228118169,0.4104166666666667,0.05618701802153276
legacy_ring,0.3076923076923077,1.8856730404701936,0.1680349308138468,0.38333333333333336,0.06567241047103436
legacy_ring,0.3333333333333333,1.876197298989324,0.1587181411692078,0.40625,0.06876495052752261
legacy_ring,0.358974358974359,1.8771293970015837,0.12380768580188836,0.4104166666666667,0.05453652405627215
legacy_ring,0.3846153846153846,1.8233917632717933,0.1737475887777437,0.39166666666666666,0.07329943395104671
legacy_ring,0.41025641025641024,1.769439794001472,0.17089635871148395,0.3875,0.08009040943964843
legacy_ring,0.4358974358974359,1.7798504093611824,0.16229483424298297,0.4166666666666667,0.06759225880448438
legacy_ring,0.4615384615384615,1.7629271394511943,0.18920149396624925,0.39375,0.045793443566565395
legacy_ring,0.48717948717948717,1.6880595895143782,0.18396125345991401,0.39166666666666666,0.06677622576550266
legacy_ring,0.5128205128205128,1.711048372863834,0.1803721845050152,0.4083333333333333,0.07229528468119135
legacy_ring,0.5384615384615384,1.6202505512603405,0.1880926166822371,0.36875,0.08471982548618331
legacy_ring,0.5641025641025641,1.6797260712655322,0.23442985991810242,0.39583333333333337,0.07089135910195005
legacy_ring,0.5897435897435898,1.5254215518911214,0.15295885384207658,0.36041666666666666,0.08471982548618333
legacy_ring,0.6153846153846154,1.6071652357747304,0.18321974875931366,0.40625,0.05873141114404422
legacy_ring,0.641025641025641,1.5270091040458018,0.23410910949932343,0.39166666666666666,0.05954260354928142
legacy_ring,0.6666666666666666,1.5696426942456543,0.26350315988301926,0.4166666666666667,0.07647191129018725
legacy_ring,0.6923076923076923,1.4883990861484233,0.2643760059973532,0.37083333333333335,0.057194395096104966
legacy_ring,0.717948717948718,1.3460174257334545,0.17275392729941463,0.35416666666666663,0.06691292237891384
legacy_ring,0.7435897435897436,1.3855553651708434,0.18873547350704617,0.38958333333333334,0.0836343248457095
legacy_ring,0.7692307692307692,1.2466413229742952,0.2673833363427743,0.35,0.07453559924999299
legacy_ring,0.7948717948717948,1.2700562515749994,0.18514570968900118,0.3625,0.06636444655146212
