topology,rho_c_sync_collapse,local_slope_near_rho_c,abs_slope,points_used
legacy_ring,0.2051282051282051,-0.7550664220473091,0.7550664220473091,7
small_world,0.2051282051282051,-0.9983344319033236,0.9983344319033236,7
linear,0.2307692307692307,-1.1473106531318293,1.1473106531318293,7
star,0.3076923076923077,-1.2215010353357008,1.2215010353357008,7
