inertia,droop_gain,frequency_nadir_hz,frequency_peak_hz,frequency_recovery_time_hr,frequency_std_hz,peak_kw
6.0,0.5,48.976508622882314,50.94086905562368,0.0,0.4766633351928749,37.659722239561084
6.0,1.0,48.37617136109904,51.798707680665984,0.0,0.8269955992375507,50.53521791740169
6.0,2.0,45.0,55.0,0.0,4.536600502959579,131.27369759502744
6.0,5.0,45.0,55.0,0.0,4.687541268064186,131.27369759502744
6.0,10.0,45.0,55.0,0.0,4.7109757369219984,131.27369759502744
7.0,0.5,49.1274455797527,50.73081382496193,0.0,0.3964357036199019,37.361938388809826
7.0,1.0,49.08609171092313,51.283072304265424,0.0,0.5442615778841965,45.37886415339609
7.0,2.0,45.0,55.0,0.0,4.355464634369268,131.27369759502744
7.0,5.0,45.0,55.0,0.0,4.682023753496004,131.27369759502744
7.0,10.0,45.0,55.0,0.0,4.695593353618247,131.27369759502744
8.0,0.5,49.251800224128026,50.68027795846915,0.0,0.3409190917020793,37.11445060519971
8.0,1.0,49.299986331547366,51.00859163097063,0.0,0.42358672551601606,42.63405742044812
8.0,2.0,45.0,55.0,0.0,3.734980618742015,131.27369759502744
8.0,5.0,45.0,55.0,0.0,4.679006565573984,131.27369759502744
8.0,10.0,45.0,55.0,0.0,4.687530206090546,131.27369759502744
9.0,0.5,49.35389894572859,50.63192337751315,0.0,0.299934059603782,36.91188496339887
9.0,1.0,49.35088748518059,50.81309091396435,0.0,0.35149940912653815,40.679050250385366
9.0,2.0,45.0,55.0,0.0,3.125361266901542,136.008421259211
9.0,5.0,45.0,55.0,0.0,4.6230943501442585,131.27369759502744
9.0,10.0,45.0,55.0,0.0,4.682901719050956,131.27369759502744
10.0,0.5,49.438111188945065,50.58777862437457,0.0,0.2682620667406007,36.746127723734254
10.0,1.0,49.3991578740789,50.66687057108598,0.0,0.302255991251444,39.21684682160164
10.0,2.0,46.837314373862306,53.1283666108666,0.0,1.4978458071466094,90.70557141201209
10.0,5.0,45.0,55.0,0.0,4.460731215641718,131.27369759502744
10.0,10.0,45.0,55.0,0.0,4.568005748239578,131.27369759502744
11.0,0.5,49.50809485971394,50.5481756282785,0.0,0.24294805575190928,36.6098834121291
11.0,1.0,49.44524587522171,50.55581378055286,0.0,0.2661146129670593,38.10627891627045
11.0,2.0,48.729610208255394,51.26957184427209,0.0,0.625995486609996,57.93957799618371
11.0,5.0,45.36857148456526,55.0,0.0,4.098445028075011,131.27369759502744
11.0,10.0,45.0,55.0,0.0,4.198222578604354,131.27369759502744
12.0,0.5,49.566760225059255,50.512848120832984,0.0,0.22218855786485275,36.586666944869606
12.0,1.0,49.48825431144115,50.47043452781184,0.0,0.23833166759643737,37.659722239561084
12.0,2.0,49.18808568054952,50.89935384033299,0.0,0.41349779961877536,50.53521791740169
12.0,5.0,46.27225863553669,55.0,0.0,3.7586036618606062,131.27369759502744
12.0,10.0,45.0,54.39240040771984,0.0,3.860389840050148,131.27369759502744
15.0,0.5,49.69520775628735,50.428237296055016,0.0,0.177307555389888,36.72669006097163
15.0,1.0,49.59634782206824,50.35276284031051,0.0,0.1831959753356758,37.23208393968125
15.0,2.0,49.63511196525959,50.56620972563746,0.0,0.23739809915450213,43.872335623490976
15.0,5.0,46.50473609560672,53.90287896416928,0.0,2.9475059174608136,131.27369759502744
15.0,10.0,46.958713492501865,54.30039028005146,0.0,3.0749479035339107,131.27369759502744
20.0,0.5,49.819947690917765,50.36466926981942,0.0,0.1331064754622597,36.810879618399746
20.0,1.0,49.719055594472536,50.29388931218728,0.0,0.13413103337029958,36.746127723734254
20.0,2.0,49.69957893703945,50.33343528554299,0.0,0.1511279956257221,39.21684682160164
20.0,5.0,47.31604421826461,52.7671577363105,0.0,1.7986230831418644,131.27369759502744
20.0,10.0,48.29584922159313,53.94496146228451,0.0,2.317329882115296,131.27369759502744
30.0,0.5,49.93750262885399,50.27705443018214,0.0,0.08958541837197373,36.83512128417714
30.0,1.0,49.84760387814368,50.21411864802751,0.0,0.08865377769494427,36.72669006097166
30.0,2.0,49.79817391103412,50.17638142015526,0.0,0.09159798766783774,37.232083939681324
30.0,5.0,49.67523427221981,50.35974153613319,0.0,0.16539911984750935,50.535217917401475
30.0,10.0,48.25236804780339,51.940564618608406,0.0,1.4727708327675586,131.27369759502744
50.0,0.5,49.98389061123786,50.19917806543742,0.0,0.056867985448951136,36.77735279417664
50.0,1.0,49.94583848857971,50.15772276584345,0.0,0.053424037233440747,36.833507681260116
50.0,2.0,49.898145300458836,50.12416226484365,0.0,0.05328385037548031,36.618878780646114
50.0,5.0,49.87983157481578,50.1333741142172,0.0,0.06045119825028898,39.21684682160171
50.0,10.0,49.36746287477246,50.62567332217333,0.0,0.29956916142932755,90.70557141201266
