disturbance_kw,drop_start_timestep,droop_gain,frequency_nadir_hz,frequency_peak_hz,frequency_recovery_time_hr,frequency_std_hz,peak_kw
5.0,16,0.5,48.5839445222784,50.58777862437457,0.0,0.5082661138054273,36.746127723734254
5.0,16,1.0,48.8991578740789,50.489419031638405,0.0,0.3931848000697432,37.985845543192305
5.0,16,2.0,46.67064770719565,52.79503327753326,0.0,1.4593126001862442,84.03890474534523
5.0,16,5.0,45.0,55.0,0.0,4.409865764891325,131.27369759502744
5.0,16,10.0,45.0,55.0,0.0,4.533945913449842,131.27369759502744
10.0,11,0.5,47.4472257722784,50.58777862437457,0.0,0.9936070210578642,36.746127723734254
10.0,11,1.0,48.3991578740789,50.418928636628415,0.0,0.5919827929092751,37.985845543192305
10.0,11,2.0,46.17064770719564,52.795033277533264,0.0,1.612146061344411,84.03890474534523
10.0,11,5.0,45.0,55.0,0.0,4.244415087096287,131.27369759502744
10.0,11,10.0,45.0,55.0,0.0,4.373868039685442,131.27369759502744
15.0,17,0.5,47.04413047058144,50.58777862437457,0.0,1.0904791713472664,36.746127723734254
15.0,17,1.0,47.8991578740789,50.489419031638405,0.0,0.7017943647211067,37.985845543192305
15.0,17,2.0,45.8373143738623,52.62836661086661,0.0,1.6056469165347746,80.70557141201209
15.0,17,5.0,45.0,55.0,0.0,4.352223550076124,131.27369759502744
15.0,17,10.0,45.0,55.0,0.0,4.456533124470526,131.27369759502744
20.0,11,0.5,45.0742629858494,50.58777862437457,0.0,1.9698557470549616,36.746127723734254
20.0,11,1.0,46.54013995218245,50.418928636628415,0.0,1.185794532892319,37.985845543192305
20.0,11,2.0,46.612996386154684,51.339180206505496,0.0,1.4593337239262663,54.40042117398004
20.0,11,5.0,45.0,55.0,0.0,4.073860039865038,131.27369759502744
20.0,11,10.0,45.0,55.0,0.0,4.173162388715303,131.27369759502744
25.0,19,0.5,45.66392213724811,50.58777862437457,0.0,1.226351235234145,36.746127723734254
25.0,19,1.0,47.24518588892582,50.489419031638405,0.0,0.8436286247292129,37.985845543192305
25.0,19,2.0,45.17064770719563,52.29503327753328,0.0,1.6205768694640623,74.03890474534552
25.0,19,5.0,45.0,55.0,0.0,4.344567009549538,131.27369759502744
25.0,19,10.0,45.0,55.0,0.0,4.45017079091294,131.27369759502744
