topology,rho_agents,run_id,run_seed,sync_index,feeder_violation_fraction,peak_charge_kw,peak_charge_ratio,pv_surplus_kwh,pv_absorbed_by_batteries_kwh,pv_curtailment_risk_kwh,pv_curtailment_fraction,pv_absorption_fraction
linear,0.0,0,383329927,1.7787094685182978,0.0,50.09498130922614,0.4174581775768845,196.0077460444639,149.40074420768218,46.60700183678171,0.2377814284248186,0.7622185715751815
linear,0.0,1,3324115916,1.676983139261984,0.0,48.80047686401967,0.4066706405334973,195.16578843480073,158.76369135395743,36.40209708084331,0.18651884314757453,0.8134811568524255
linear,0.0,2,2811363264,1.7503474922559377,0.0,47.40904990612574,0.39507541588438116,189.52969173984803,131.42335289616574,58.10633884368232,0.3065817197837274,0.6934182802162727
linear,0.0,3,1884968544,1.543423329332555,0.0,48.60373991203449,0.40503116593362076,205.03535013161087,141.33564983466474,63.69970029694611,0.31067667236921676,0.6893233276307832
linear,0.0,4,1859786275,1.422361537094084,0.0,40.759329185654586,0.3396610765471216,192.85868951710623,125.28949253277014,67.56919698433609,0.35035598942168905,0.6496440105783109
linear,0.0,5,3687649985,1.7268536379392467,0.0,55.864436426372535,0.46553697021977114,196.9778124545863,148.7439109435779,48.2339015110084,0.24486971862442036,0.7551302813755796
linear,0.0,6,369133708,1.4732382312879473,0.0,42.047949120756954,0.35039957600630794,196.42123053755608,130.79084544926337,65.6303850882927,0.33413081115864435,0.6658691888413556
linear,0.0,7,2995172877,1.6511160841594625,0.0,50.815592273755136,0.4234632689479595,194.6022298546593,128.37946468566054,66.2227651689988,0.34029807992672007,0.6597019200732801
linear,0.0,8,865305066,1.6745812077661377,0.0,51.67794834516717,0.4306495695430597,191.46251083612498,141.1015770123758,50.360933823749214,0.26303287052813035,0.7369671294718698
linear,0.0,9,404488628,1.723411110761128,0.0,38.47077374793203,0.3205897812327669,199.70255759899595,140.3787078334352,59.32384976556076,0.297061041575058,0.7029389584249419
linear,0.0,10,2261209995,1.7328672164764498,0.0,40.25705549798158,0.33547546248317983,182.3027514571143,133.60163254323197,48.701118913882326,0.2671441792546888,0.7328558207453111
linear,0.0,11,4190266092,1.7187193372046237,0.0,37.60168646156638,0.3133473871797198,190.4668149042882,130.11916959652035,60.347645307767884,0.31684073332193474,0.6831592666780654
linear,0.0,12,3160032368,1.6771155382261498,0.0,41.98973316791369,0.34991444306594743,187.7604186037418,139.86104757044689,47.89937103329493,0.25510899149827715,0.7448910085017229
linear,0.0,13,3269070126,1.6282158310443344,0.0,51.2418988538701,0.42701582378225084,191.55047291908724,152.59840498556338,38.952067933523864,0.20335145792084572,0.7966485420791543
linear,0.0,14,3081541439,1.7164696454143058,0.0,47.910841559653164,0.3992570129971097,193.8773725868595,148.66236843079432,45.21500415606519,0.23321444659978718,0.7667855534002128
linear,0.0,15,3376120482,1.594019645901484,0.0,45.74539199148079,0.38121159992900655,197.2164124576732,152.945338059859,44.27107439781417,0.22447966599795885,0.7755203340020411
linear,0.0,16,2204291346,1.5090888523100043,0.0,42.77140366493832,0.356428363874486,197.41981374527685,131.62707691491002,65.79273683036683,0.3332630883506792,0.6667369116493208
linear,0.0,17,550243861,1.7192719598740183,0.0,48.280973725947334,0.40234144771622776,195.1596378614488,154.6467916013035,40.512846260145324,0.20758824265141815,0.792411757348582
linear,0.0,18,3606691181,1.5495637795370225,0.0,46.27157538527768,0.38559646154398064,190.26698739973278,153.5623103562753,36.7046770434575,0.1929114322199493,0.8070885677800508
linear,0.0,19,1934392872,1.60906307845448,0.0,36.43391523116749,0.3036159602597291,203.81921882675272,140.87354104484564,62.94567778190709,0.30883092450379374,0.6911690754962063
linear,0.0,20,2148995112,1.630126869928966,0.0,50.37352996775486,0.4197794163979572,186.40613326823217,140.39152706201645,46.014606206215745,0.2468513530078019,0.7531486469921983
linear,0.0,21,1592565386,1.5500114176647843,0.0,44.3191888178146,0.3693265734817883,193.74926525413267,144.63914621419224,49.11011903994045,0.2534725433695183,0.7465274566304818
linear,0.0,22,784044718,1.6428734334421964,0.0,46.53222371659244,0.3877685309716037,189.24372477072927,137.32081628520427,51.92290848552497,0.2743705692140128,0.725629430785987
linear,0.0,23,3980425317,1.6769407907512577,0.0,36.43863567058109,0.3036552972548424,202.62391973946583,158.49780784307677,44.12611189638908,0.21777345909173262,0.7822265409082675
linear,0.0,24,3356806661,1.5506579722741414,0.0,55.92826946697524,0.46606891222479363,181.80946727555772,137.0049779110256,44.80448936453213,0.24643650320268884,0.7535634967973113
linear,0.0,25,2765379632,1.5675276533362308,0.0,44.386163372758176,0.3698846947729848,194.24935654970977,142.5954356367231,51.653920912986656,0.26591553161602394,0.7340844683839759
linear,0.0,26,1728356533,1.6438902838170977,0.0,43.31494376857227,0.36095786473810226,181.0461350160647,144.49787503223612,36.54825998382859,0.20187263307546205,0.798127366924538
linear,0.0,27,3533734220,1.618106545090484,0.0,43.427436549732306,0.36189530458110253,193.39021747030404,132.99476896195333,60.39544850835072,0.3122983638902248,0.6877016361097752
linear,0.0,28,2342600226,1.6987006615119633,0.0,58.29721123129845,0.4858100935941537,184.7456302585447,157.13933819789847,27.606292060646233,0.1494286604885444,0.8505713395114556
linear,0.0,29,1904449481,1.6590448724322189,0.0,50.85989562252813,0.42383246352106774,191.2686279737731,163.23020771902623,28.038420254746892,0.1465918407622579,0.8534081592377422
linear,0.0,30,1934709049,1.589154683908771,0.0,45.06352092512733,0.3755293410427277,190.2547392089419,147.3544430476583,42.9002961612836,0.225488712342506,0.7745112876574939
linear,0.0,31,975982877,1.7112432641013655,0.0,45.47501030902151,0.3789584192418459,197.63043767552315,169.44173672396525,28.188700951557898,0.14263339839301037,0.8573666016069896
linear,0.0,32,395720737,1.653588923476173,0.0,44.78441992506838,0.3732034993755698,196.6671383555984,160.33832326888097,36.328815086717434,0.18472234553507594,0.8152776544649241
linear,0.0,33,2381923522,1.655000730365086,0.0,51.30146242811131,0.42751218690092757,195.73842777849399,151.47372483937892,44.26470293911504,0.2261421195699338,0.7738578804300661
linear,0.0,34,3813457838,1.6833178849972759,0.0,38.71609194414798,0.3226340995345665,189.9555128234539,151.78607786046018,38.169434962993705,0.20093881138616215,0.7990611886138379
linear,0.0,35,274093026,1.504094122840235,0.0,61.90466181200578,0.5158721817667148,194.12359153990235,158.04617414022528,36.077417399677074,0.1858476711330643,0.8141523288669357
linear,0.0,36,3686333037,1.6203035019962286,0.0,52.68554272555777,0.43904618937964807,185.01417596290582,147.58794814705865,37.42622781584718,0.20228843341902028,0.7977115665809797
linear,0.0,37,3554648815,1.5957780364428003,0.0,61.51253005969387,0.5126044171641156,191.5235083658364,152.15736588512857,39.366142480707836,0.20554209149883082,0.7944579085011693
linear,0.0,38,1188673835,1.558478162331858,0.0,43.838412221113536,0.3653201018426128,189.70483547691813,148.35354967906517,41.35128579785297,0.2179769729848783,0.7820230270151217
linear,0.0,39,2712977935,1.797527789740118,0.0,48.81464199523569,0.40678868329363077,191.3515056516332,159.74461866148124,31.606886990151942,0.16517710107645645,0.8348228989235434
linear,0.0,40,709653492,1.7051721901649195,0.0,39.14880507562107,0.3262400422968422,203.75483638838148,159.35930515068026,44.39553123770123,0.21788700589701807,0.782112994102982
linear,0.0,41,3255962050,1.591694870376725,0.0,50.12094421447009,0.4176745351205841,192.48348466706074,141.09228422965373,51.391200437407015,0.2669901811383898,0.7330098188616103
linear,0.0,42,3008723230,1.6880483840892142,0.0,43.382636633789815,0.3615219719482485,191.03423655899286,143.63069233314604,47.40354422584683,0.24814161628671333,0.7518583837132867
linear,0.0,43,1522677437,1.8009449458391125,0.0,53.13910429252501,0.4428258691043751,190.41379963135878,170.7527271489142,19.661072482444574,0.10325445172833282,0.8967455482716672
linear,0.0,44,291714184,1.4594101848431287,0.0,43.471060653742015,0.3622588387811835,192.05210741867563,150.83778890543124,41.21431851324437,0.21459966811713616,0.7854003318828637
linear,0.0,45,4169116268,1.7460376961951198,0.0,38.882541969523274,0.3240211830793606,192.89465260256114,142.75056840233748,50.14408420022366,0.25995580242206195,0.740044197577938
linear,0.0,46,1914213179,1.6038266345398478,0.0,42.79958556786602,0.35666321306555016,197.89417406832513,148.50362951373125,49.390544554593866,0.24958058915641065,0.7504194108435893
linear,0.0,47,3835926006,1.4886591906907263,0.0,45.577230926967,0.379810257724725,191.86788404102873,146.34891337568507,45.51897066534366,0.23724121883582117,0.7627587811641788
linear,0.0,48,2911639983,1.6527779774239832,0.0,49.18905763297981,0.4099088136081651,188.73017043904082,136.1998539839135,52.53031645512736,0.2783355535202808,0.7216644464797194
linear,0.0,49,3343131662,1.5706669010865084,0.0,50.07566794505696,0.4172972328754747,192.5756195882471,125.57281467720895,67.00280491103813,0.34792984207605954,0.6520701579239404
linear,0.0,50,3263743247,1.752795287401362,0.0,34.429264445105574,0.28691053704254643,196.09515146551482,139.03948786653035,57.05566359898444,0.2909590735547493,0.7090409264452505
linear,0.0,51,835966883,1.674572998960458,0.0,49.371861780340346,0.4114321815028362,194.93776075116955,149.6834652171715,45.254295533998004,0.23214740622656144,0.7678525937734383
linear,0.0,52,1562964502,1.596798687288757,0.0,38.565607094074785,0.3213800591172899,200.4438234279418,162.2911222302919,38.152701197649876,0.19034111675366996,0.80965888324633
linear,0.0,53,2004551446,1.73747922349874,0.0,38.936734718243564,0.3244727893186964,195.67514885456265,152.95513727549636,42.7200115790663,0.2183210889534999,0.7816789110465001
linear,0.0,54,2137998392,1.4976717759847735,0.0,47.31404296903912,0.3942836914086593,199.6617832202753,161.78534004964146,37.87644317063384,0.1897030195750929,0.810296980424907
linear,0.0,55,188135740,1.6454255894435306,0.0,56.417208496681226,0.47014340413901023,195.3932566648271,144.51158233090254,50.881674333924565,0.26040650123973197,0.739593498760268
linear,0.0,56,2347498143,1.6848793506359734,0.0,46.57467163077586,0.38812226358979884,204.06273077259402,160.35945351312432,43.70327725946968,0.2141658944482728,0.7858341055517271
linear,0.0,57,662668321,1.7783586589539244,0.0,40.423724714769854,0.3368643726230821,190.60045968692492,135.43114726418412,55.169312422740795,0.2894500491413315,0.7105499508586685
linear,0.0,58,3192775210,1.47257610004839,0.0,55.25023607388898,0.46041863394907484,201.7863961615105,140.61944243012155,61.16695373138896,0.3031272419496046,0.6968727580503954
linear,0.0,59,2933672914,1.583468754824277,0.0,42.61920550367431,0.35516004586395256,192.85666410833386,148.8611857964683,43.995478311865575,0.22812526865626942,0.7718747313437306
linear,0.0,60,3962226899,1.6507419397512402,0.0,51.33670271128308,0.42780585592735904,184.86932663391505,150.86634439028452,34.00298224363051,0.1839298214731125,0.8160701785268875
linear,0.0,61,3198729101,1.7422324905345477,0.0,56.84519749490272,0.47370997912418933,194.3640356834673,150.70456731699656,43.65946836647075,0.22462729904195153,0.7753727009580484
linear,0.0,62,1574718218,1.554173277828605,0.0,46.699752878869184,0.38916460732390984,191.6865592013445,161.27436643321946,30.41219276812505,0.1586558436587125,0.8413441563412876
linear,0.0,63,4155422658,1.6261004995048356,0.0,44.53521671863157,0.3711268059885964,188.07022697796626,148.77834838436638,39.29187859359987,0.20892131213412735,0.7910786878658727
linear,0.0,64,1764588833,1.666547124012063,0.0,48.55461268646892,0.404621772387241,190.22491944783042,139.94499046218914,50.27992898564125,0.264318308724166,0.7356816912758338
linear,0.0,65,1399409256,1.5857718887109156,0.0,54.27505468978887,0.45229212241490724,177.68444977923102,144.64008690187958,33.04436287735142,0.1859721709941883,0.8140278290058116
linear,0.0,66,3889246497,1.5109756346524292,0.0,47.92402190010228,0.399366849167519,185.53556396248933,145.73810078873964,39.797463173749705,0.21450045653670882,0.7854995434632912
linear,0.0,67,1591112320,1.6508683986480523,0.0,38.50520437286982,0.3208767031072485,188.4546262081723,144.37181772908252,44.08280847908976,0.23391735913341097,0.766082640866589
linear,0.0,68,327891486,1.5449975443110746,0.0,49.289746800061984,0.41074789000051654,187.63756338232315,139.133650771746,48.503912610577146,0.2584978814276511,0.7415021185723488
linear,0.0,69,2016726852,1.6497461011340127,0.0,41.54503257030166,0.3462086047525138,198.36889645531568,146.17543663175184,52.19345982356383,0.26311312285452404,0.736886877145476
linear,0.0,70,3417419471,1.7592152404348065,0.0,50.94745697796813,0.42456214148306776,195.90021953567435,159.86821527004741,36.03200426562694,0.18393039247750992,0.8160696075224901
linear,0.0,71,813773289,1.6826334323648915,0.0,49.610108382035,0.41341756985029166,197.1597339321305,175.71047799309125,21.449255939039247,0.1087912603210494,0.8912087396789505
linear,0.0,72,1988314613,1.6448825788420132,0.0,43.798029844493215,0.36498358203744347,193.04834093094215,158.77253374377534,34.27580718716682,0.17755038464395853,0.8224496153560416
linear,0.0,73,558008615,1.5559665436690482,0.0,44.56426742917018,0.3713688952430848,192.28082825419477,134.9262269645531,57.354601289641664,0.2982855951391005,0.7017144048608994
